"NOME","ID","Ingrediente","Quantidade_original","Un_medida_original","Quantidade_adaptada","Un_medida_adaptadad","Quantidade_outras_porcoes","Un_medida_outras_porcoes","X10","string"
"Geléia de Morango","id_0001","Morango","1","kg","","","","","","- 1 kg Morango"
"Geléia de Morango","id_0001","Açúcar","1/2","kg","","","","","","- 1/2 kg Açúcar"
"Geléia de Morango","id_0001","Limão","5","Gotas","","","","","","- 5 Gotas Limão"
"Biscoitinhos de Cerveja do Natal","id_0002","Farinha de trigo branca","500","","500.0","g","","","","- 500  Farinha de trigo branca"
"Biscoitinhos de Cerveja do Natal","id_0002","Manteiga","250","","250.0","g","","","","- 250  Manteiga"
"Biscoitinhos de Cerveja do Natal","id_0002","Cerveja clara","200","ml","150.0","ml","","","","- 200 ml Cerveja clara"
"Biscoitinhos de Cerveja do Natal","id_0002","Fermento químico em pó","1","Colher de sopa (rasa)","","","","","","- 1 Colher de sopa (rasa) Fermento químico em pó"
"Biscoitinhos de Cerveja do Natal","id_0002","Açúcar refinado","","","1.5","Colher de sopa","","","","-   Açúcar refinado"
"Biscoitinhos de Cerveja do Natal","id_0002","Sal","","","2.0","Pitada","","","","-   Sal"
"Biscoitinhos de Cerveja do Natal","id_0002","Açúcar cristal (suficiente para envolver os biscoitinhos)","","","","","",""," COLOCAR COMO TEXTO QUANDO NAO HÁ QUANTIDADE DE INGREDIENTES  (EXEPLO)","-   Açúcar cristal (suficiente para envolver os biscoitinhos)"
"Torta Bilbolbul","id_0003","Farinha de trigo branca, peneirada","200","g","300.0","g","","","","- 200 g Farinha de trigo branca, peneirada"
"Torta Bilbolbul","id_0003","Açúcar refinado","250","g","300.0","g","","","","- 250 g Açúcar refinado"
"Torta Bilbolbul","id_0003","Cacau em pó, não adoçado","100","g","225.0","g","","","","- 100 g Cacau em pó, não adoçado"
"Torta Bilbolbul","id_0003","Canela em pó","2","g","2.0","g","","","","- 2 g Canela em pó"
"Torta Bilbolbul","id_0003","Bicarbonato de sódio","4","g","4.0","g","","","","- 4 g Bicarbonato de sódio"
"Torta Bilbolbul","id_0003","Cremor tártaro","4","g","4.0","g","","","","- 4 g Cremor tártaro"
"Torta Bilbolbul","id_0003","Leite","250","mL","250.0","mL","","","","- 250 mL Leite"
"Torta Bilbolbul","id_0003","Raspas de casca de uma laranja","","","","","","","","-   Raspas de casca de uma laranja"
"Torta Bilbolbul","id_0003","Manteiga (apenas o suficiente para untar)","","","","","","","","-   Manteiga (apenas o suficiente para untar)"
"Torta Bilbolbul","id_0003","Farinha finíssima de rosca (apenas o suficiente para untar)","","","","","","","","-   Farinha finíssima de rosca (apenas o suficiente para untar)"
"Sufle/Souffle de Milho Verde","id_0004","Milho verde","1","Lata","4.0","Lata","","","","- 1 Lata Milho verde"
"Sufle/Souffle de Milho Verde","id_0004","Leite","1 e 1/2","Xícara","6.0","Xícara","","","","- 1 e 1/2 Xícara Leite"
"Sufle/Souffle de Milho Verde","id_0004","Ovos","2","Un","6.0","Un","","","","- 2 Un Ovos"
"Sufle/Souffle de Milho Verde","id_0004","Manteiga","1","Colher de sopa","4.0","Colher de sopa","","","","- 1 Colher de sopa Manteiga"
"Sufle/Souffle de Milho Verde","id_0004","Açúcar","1","Colher de sobremesa","3.0","Colher de sobremesa","","","","- 1 Colher de sobremesa Açúcar"
"Sufle/Souffle de Milho Verde","id_0004","Sal","1","Pitada","3.0","Pitada","","","","- 1 Pitada Sal"
"Crostata di Ricotta","id_0005","Manteiga","160","g","","","","","","- 160 g Manteiga"
"Crostata di Ricotta","id_0005","Açúcar refinado","70","g","60.0","g","3.0","col (?)","","- 70 g Açúcar refinado"
"Crostata di Ricotta","id_0005","Farinha de trigo branca","120","g","30.0","g","","","","- 120 g Farinha de trigo branca"
"Crostata di Ricotta","id_0005","Fécula de Batata ou Amido de milho","120","g","","","","","","- 120 g Fécula de Batata ou Amido de milho"
"Crostata di Ricotta","id_0005","Raspa de casca de um limão","","","","","","","","-   Raspa de casca de um limão"
"Crostata di Ricotta","id_0005","Gema","2","Un","2.0","Un","3.0","Un","","- 2 Un Gema"
"Crostata di Ricotta","id_0005","Clara","","","","","3.0","Un","","-   Clara"
"Crostata di Ricotta","id_0005","Leite","200","mL","200.0","mL","","","","- 200 mL Leite"
"Crostata di Ricotta","id_0005","Ricota","300","g","","","300.0","g","","- 300 g Ricota"
"Crostata di Ricotta","id_0005","Frutas cristalizadas e canela (a gosto)","","","","","A gosto","","","-   Frutas cristalizadas e canela (a gosto)"
"Crostata di Ricotta","id_0005","Baunilha","","","A gosto","","","","","-   Baunilha"
